source-id	source-id-short	source-authors	source-data	source-title	source-journal	source-doi
Sardans J etal 2008_Warming and drought alter C and N concentration, allocation and accumulation in a Mediterranean shrubland	Sardans J etal 2008	Sardans J, Penuelas J, Estiarte M, Prieto P	2008	Warming and drought alter C and N concentration, allocation and accumulation in a Mediterranean shrubland	Global Change Biology 14(10): 2304-2316	10.1111/j.1365-2486.2008.01656.x
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	Schmidt IK etal 2002	Schmidt IK, Jonasson S, Shaver GR, Michelsen A, Nordin A	2002	Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	Plant and Soil 242(1): 93-106	10.1023/A:1019642007929
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	Schmidt IK etal 2004	Schmidt IK, Tietema A, Williams D, Gundersen P, Beier C, Emmett BA, Estiarte M	2004	Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	Ecosystems 7(6): 638-649	10.1007/s10021-004-0217-5
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	Shaw MR etal 2001	Shaw MR, Harte J	2001	Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	Global Change Biology 7(2): 193-210	10.1046/j.1365-2486.2001.00390.x
Sherry RA etal 2008_Lagged effects of experimental warming and doubled precipitation on annual and seasonal aboveground biomass production in a tallgrass prairie	Sherry RA etal 2008	Sherry RA, Weng ES, Arnone JA, Johnson DW, Schimel DS, Verburg PS, Wallace LL, Luo YQ	2008	Lagged effects of experimental warming and doubled precipitation on annual and seasonal aboveground biomass production in a tallgrass prairie	Global Change Biology 14(12): 2923-2936	10.1111/j.1365-2486.2008.01703.x
Sorensen PL etal 2008_Nitrogen Uptake During One Year in Subarctic Plant Functional Groups and in Microbes After Long-Term Warming and Fertilization	Sorensen PL etal 2008	Sorensen PL, Michelsen A, Jonasson S	2008	Nitrogen Uptake During One Year in Subarctic Plant Functional Groups and in Microbes After Long-Term Warming and Fertilization	Ecosystems 11(8): 1223-1233	10.1007/s10021-008-9204-6
Tolvanen A etal 2001_Responses of carbon and nitrogen concentrations in high arctic plants to experimental warming	Tolvanen A etal 2001	Tolvanen A, Henry GHR	2001	Responses of carbon and nitrogen concentrations in high arctic plants to experimental warming	Canadian Journal of Botany-Revue Canadienne De Botanique 79(6): 711-718	10.1139/b01-052
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	Turner M etal 2010	Turner M, Henry H	2010	Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	Oecologia 162(1): 227-236	10.1007/s00442-009-1435-5
Verburg PSJ etal 2005_Soil solution and extractable soil nitrogen response to climate change in two boreal forest ecosystems	Verburg PSJ etal 2005	Verburg PSJ	2005	Soil solution and extractable soil nitrogen response to climate change in two boreal forest ecosystems	Biology and Fertility of Soils 41(4): 257-261	10.1007/s00374-005-0831-1
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	Verburg PSJ etal 2000	Verburg PSJ, van Breemen N	2000	Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	Forest Ecology and Management 129(1-3): 31-39	10.1016/S0378-1127(99)00163-2
Verburg PSJ etal 1999_The CLIMEX soil-heating experiment soil response after 2 years of treatment	Verburg PSJ etal 1999	Verburg PSJ, Van Loon WKP, Lukewille A	1999	The CLIMEX soil-heating experiment: soil response after 2 years of treatment	Biology and Fertility of Soils 28(3): 271-276	10.1007/s003740050493
Wan SQ etal 2005_Direct and indirect effects of experimental warming on ecosystem carbon processes in a tallgrass prairie	Wan SQ etal 2005	Wan SQ, Hui DF, Wallace L, Luo YQ	2005	Direct and indirect effects of experimental warming on ecosystem carbon processes in a tallgrass prairie	Global Biogeochemical Cycles 19(2)	10.1029/2004GB002315
Wang ZW etal 2011_Influence of increasing temperature and nitrogen input on greenhouse gas emissions from a desert steppe soil in Inner Mongolia	Wang ZW etal 2011	Wang ZW, Hao XY, Shan D, Han GD, Zhao ML, Willms WD, Wang Z, Han X	2011	Influence of increasing temperature and nitrogen input on greenhouse gas emissions from a desert steppe soil in Inner Mongolia	Soil Science and Plant Nutrition 57(4): 508-518	10.1080/00380768.2011.591283
Weedon JT etal 2012_Summer warming accelerates sub-arctic peatland nitrogen cycling without changing enzyme pools or microbial community structure	Weedon JT etal 2012	Weedon JT, Kowalchuk GA, Aerts R, van Hal J, van Logtestijn R, Tas N, Roling WFM, van Bodegom PM	2012	Summer warming accelerates sub-arctic peatland nitrogen cycling without changing enzyme pools or microbial community structure	Global Change Biology 18(1): 138-150	10.1111/j.1365-2486.2011.02548.x
Xu Z etal 2012_Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	Xu Z etal 2012	Xu Z, Yin H, Xiong P, Wan C, Liu Q	2012	Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	Environmental and Experimental Botany 77: 1-11	10.1016/j.envexpbot.2011.10.011
Yin H etal 2012_Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	Yin H etal 2012	Yin H, Xu Z, Chen Z, Wei Y, Liu Q	2012	Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	Applied Soil Ecology 59: 60-67	10.1016/j.apsoil.2012.03.013
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	Yin HJ etal 2012	Yin HJ, Chen Z, Liu Q	2012	Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	Soil Biology & Biochemistry 50: 77-84	
Zhang W etal 2005_Soil microbial responses to experimental warming and clipping in a tallgrass prairie	Zhang W etal 2005	Zhang W, Parker KM, Luo Y, Wan S, Wallace LL, Hu S	2005	Soil microbial responses to experimental warming and clipping in a tallgrass prairie	Global Change Biology 11(2): 266-277.	10.1111/j.1365-2486.2005.00902.x
