source-id	latitude and longitude coordinate	latitude and longitude text	ecosystem	ecosystem-text	warming-method	warming-method-text	temperature-increase (degree C)	temperature-increase-text	warming-period-text	warming-timing	warming-season	warming-duration (months)	warming-other notes
Sherry RA etal 2008_Lagged effects of experimental warming and doubled precipitation on annual and seasonal aboveground biomass production in a tallgrass prairie	34°58'N,97°31'W	"Kessler Farm
Field Laboratory (KFFL) (34◦58'N, 97◦31'W) in
McClain County, Oklahoma, USA"	grassland/meadow/prairie	tallgrass prairie	infrared radiator: 100 Wm-2	"infrared heaters, ""Every other plot had two
165 cm 15cm radiant infrared heaters suspended
above it at a height of 1.4m (Kalglo electronics Inc.,
Bethlehem, PA, USA). Previous experimentation determined
that, at this height, two heaters, each with a
radiation output of 100Wm 2 would warm the soil
surface approximately 4 1C (Wan et al., 2002)."""	4.2	4.2	Feb. 2003 - May 2003	all day warming	all year	3,6,8,10,12	
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	43°01'N,81°12'W	London, Ontario, Canada (43°01' N, 81°12' W)	grassland/meadow/prairie	perennial grassland	infrared radiator	infrared heaters	2.5	1-4	Nov. 2006 - Fall 2007	all day warming	all year, winter	5,10,12,17	winter warming only(11.2006-4.2007)
Wan SQ etal 2005_Direct and indirect effects of experimental warming on ecosystem carbon processes in a tallgrass prairie	34°58'N,97°31'W	Great Plain Apiaries, OK, USA (34°58'N, 97°31'W)	grassland/meadow/prairie	tallgrass prairie	infrared radiator	infrared heaters	1.8,2	2	Nov. 1999-Jan. 2001	all day warming	all year	2,14	
Bijoor NS etal 2008_Effects of temperature and fertilization on nitrogen cycling and community composition of an urban lawn	33.7°N 117.7°W	Irvine, Arboretum, USA (33.7°N 117.7°W)	grassland/meadow/prairie	Turfgrass	infrared radiator	"infrared heaters, ""The heated subplots were subjected to an average increase in mean daily surface temperature of 3.5 _x0001_ 1.3 1C (average _x0001_ SD) by elevating ceramic infrared heaters (250 W, Exo Terra, Rolf C. Hagen Inc., Montreal, Canada) 1m over the ground. Plots were heated from July 14, 2005 to Decem- ber 1, 2006."""	3.5	3.5	Jul. 2005 - Jan. 2006	all day warming	all year	6,9,11,15,16	0-5cm
Sardans J etal 2008_Changes in soil enzymes related to C and N cycle and in soil C and N content under prolonged warming and drought in a Mediterranean shrubland	41°18'N,1°49'E	Catalonia,Spain (41°18'N,1°49')	shrub/heathland	Mediterranean shrubland	infrared radiator	infrared radiation	0.95	0.95(night-time warming)	Mar.1999-Jan.2005	night time warming	all year	62,64,67,70,74	Erica multiflora
Sardans J etal 2008_Warming and drought alter C and N concentration, allocation and accumulation in a Mediterranean shrubland	41°18'N,1°49'E	Catalonia,Spain (41°18'N,1°49')	shrub/heathland	Mediterranean shrubland	infrared radiator	infrared radiation	0.95	0.95(night-time warming)	Mar.1999-Jan.2005	night time warming	all year	70	
Wang ZW etal 2011_Influence of increasing temperature and nitrogen input on greenhouse gas emissions from a desert steppe soil in Inner Mongolia	41°46'N,111°53'E	Siziwang Banner, Inner Mongolia, China (41º46' N, 111º53' E)	grassland/meadow/prairie	desert steppe	infrared radiator	infrared radiation	1.3	1.3	Jun. 2006-May. 2007	all day warming	all year	8,11,14,17	spring
Chen Z etal 2010_Short-term effects of night warming and nitrogen addition on soil available nitrogen and  microbial properties in subalpine coniferous forest, Western Sichuan, China	31°41'N,103°53'E	Maoshang, China 31°41′ N, 103°53′ E	forest	subalpine coniferous forest	infrared radiator	infrared radiators	4.19	4.19	Mar. 2008-Nov. 2009	night time warming	all year	20,25	
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	44°45’N,123°45’E	Songnen, China (44°45’N, 123°45’E)	grassland/meadow/prairie	Eurasian continental temperate grassland.	infrared radiator	infrared radiators	1.8	1.8	2006-2007	all day warming	all year	12,24,36	
Rui Y etal 2011_Warming and grazing affect soil labile carbon and nitrogen pools differently in an alpine meadow of the Qinghai-Tibet Plateau in China	37°37′N,101°12′E	37°37′ N, 101°12′ E, Qinghai–Tibetan Plateau, China	grassland/meadow/prairie	Alpine Meadow	infrared radiator	infrared radiators	1.45	1.2 at daytime, 1.7 at night	May, 2006-Aug. 2009	all day warming	growing season	2,3,5,39	
Xiong P etal 2010_Short-term response of winter soil respiration to simulated warming in a Pinus armandii plantation in the upper reaches of the Minjiang River, China	31°41'N,103°53'E	Maoshang, China 31°41′ N, 103°53′ E	forest	subalpine coniferous forest	infrared radiator	infrared radiators	6.7	6.7	Oct. 2009-Nov. 2009	all day warming	winter	1,2,3,5	
Hovenden MJ etal 2008_Warming prevents the elevated CO2-induced reduction in available soil nitrogen in a temperate, perennial grassland	42°42'S 147°16'E	Tasmania, Australia (42°42'S 147°16'E)	grassland/meadow/prairie	temperate grassland	infrared radiator: 140 W.m-2	"infrared radiation, ""Warming is provided by the addition of 140 W m_x0001_2 of infrared radiation using 240 V 250 W Emerson solid ceramic infrared emitters suspended 1.2 m above the soil surface above the centre of each ring and operating continuously, providing an average warming of leaf temperature of 1.98 1C and of soil temperature at 1 cm depth by 0.82 1C over the growing season."""	0.82	0.82	Feb 2002-spring 2004 	all day warming	all year	24,36,48	
Dijkstra FA etal 2010_Contrasting effects of elevated CO2 and warming on nitrogen cycling in a semiarid grassland	41°11'N,104°54'W	High Plains Grasslands Research Station, Wyoming, USA (41 ◦11'N,  104 ◦54'W)	grassland/meadow/prairie	mixed-grass prairie	infrared radiator:1000 W	"infrared radiators, ""We used ceramic infrared heaters (1000 W; Mor Electric Heating Assoc., Inc., Comstock Park, MI, USA (Trade and company names are given for the reader’s benefit and do not imply endorsement or preferential treatment of any product by the USDA)) con- trolled by a proportional-integral-derivative feed-back loop (Kimball et al., 2008) to warm the canopy of the heated plots to 1.5°C above ambient temperature during the day and 3°C above ambient temperature during the night. Each heated plot had six infrared heaters attached to a triangular frame, 1.5 m above the ground. The warming treatment began in April 2007."""	2.25	1.5 at daytime and 3 at night	Apr. 2007-Aug. 2007	all day warming	all year	4,12,16	0-5cm soil
Robinson CH etal 1995_Responses of plant litter decomposition and nitrogen mineralisation to simulated environmental change in a high arctic polar semi-desert and a subarctic dwarf shrub heath	78°56'N,11°50' E	northwestern Spitsbergen (78°56' N, 11°50' E) at an elevation of 22 m a.s.l.	shrub/heathland	polar semi-desert  	open top chamber	Greenhouse(Polythene tents)	1,1.1,1.3	1.3	1991-1993	all day warming	growing season	24	polar semi-desert  
Klein JA etal 2007_Experimental warming, not grazing, decreases rangeland quality on the Tibetan Plateau	37°37'N,101°12'E	Heibei, Tibet, China (37°37' N, 101°12'E)	grassland/meadow/prairie	alpine meadow and shrub	open top chamber	OTC	1.5	1-2	sep.1997-2000	all day warming	all year	36	sedge
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	60°N,7°E	Sanddalsnuten (60°N, 7°E) at Finse, southern Norway	grassland/meadow/prairie	alpine Carex vaginata	open top chamber	OTC	1	1	1999-2007	all day warming	all year	96	
Rinnan R etal 2007_Mineralization and carbon turnover in subarctic heath soil as affected by warming and additional litter	68°21'N,18°49'E	Abisko, Sweden (68°21'N, 18°49'E)	shrub/heathland	dry heathland	open top chamber	OTC	1	1	1999-2005	all day warming	all year	84	Carex capillaris
Rinnan R etal 2008_Effects of litter addition and warming on soil carbon, nutrient pools and microbial communities in a subarctic heath ecosystem	68°21'N,18°49'E	Abisko, Sweden (68°21'N, 18°49'E)	shrub/heathland	dry heathland	open top chamber	OTC	1	1	1999-Aug.2005	all day warming	all year	84	0-5 cm soil
Tolvanen A etal 2001_Responses of carbon and nitrogen concentrations in high arctic plants to experimental warming	78°53'N,75°55'W	Alexandra Fiord Canada,(78°53′N, 75°55′W)	shrub/heathland	polar shrubs and meadow	open top chamber	OTC	0.55	–0.2-1.3°C(at 3 cm soil)	Jun.1992- Jun.1996	all day warming	all year	48,49,50	Cassiope tetragona(new tissues)
Weedon JT etal 2012_Summer warming accelerates sub-arctic peatland nitrogen cycling without changing enzyme pools or microbial community structure	68°21'N,18°49'E	Abisko, Sweden (68°21'N, 18°49'E)	peat	sub-arctic peat	open top chamber	OTC	0.55	0.2–0.9 °C in summer	Jun.2000-Jun.2009	all day warming	growing season	108110	
Xu Z etal 2012_Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	31°35'N,102°35'E	Eastern Tibetan Plateau (31°35'N; 102°35'E; 3150 m a.s.l).	forest	dragon spruce plantation	open top chamber	OTC	0.6	0.6	Apr.2009-Sep.2009	all day warming	all year	5	
