source-id	latitude and longitude coordinate	latitude and longitude text	ecosystem	ecosystem-text	warming-method	warming-method-text	temperature-increase (degree C)	temperature-increase-text	warming-period-text	warming-timing	warming-season	warming-duration (months)	warming-other notes
Hobbie SE etal 1998_Response of tundra plant biomass, aboveground production, nitrogen, and CO(2) flux to experimental warming	68°38'N,149°34'W	Alaska(68°38'N 149°34'W, 760m a.s.l.)	tundra	Upland tussock tundra	greenhouse	"OTC, actually GREENHOUSE,Spring to mid August in 1990-1993, ""One of the plots in each block
was randomly selected for cover by a wooden frame
supporting 0.15-mm (6-mil) polyethylene ‘‘greenhouses’’
that extended 20 cm beyond the plot boundaries
during the growing seasons of 1990–1993. We
installed greenhouses on the plots each spring following
snow melt and removed them each year in mid-
August. Because of uneven microtopography, the bottom
of the frames rested on the ground but air circulated
in and out of the greenhouses at the bases. During
1991–1993, we cut 200-cm2 holes in the tops of the
greenhouses to increase air circulation (Parsons et al.
1994). We left the other 10 plots uncovered as unmanipulated
controls."""	0.75	4-5°C in air T and 0.5-1°C in soil T (0-10cm) across the 3 years	Jun.1990-summer.1992	all day warming	growing season	24,30,38	
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	42°30′N,72°10′ W	Prospect Hill Tract of the Harvard Forest in central Massachusetts (42°30′ N, 72°10′ W)	forest	mixed deciduous forest	heating cable	"buried heating cables, ""To warm a given plot, we buried four heating cables
(Smith-Gates Easy Heat) at a depth of 10 cm in 6 m
long rows spaced 20 cm apart. When supplied with 240
V alternating current, the heating cables have a power output of 13.6 W/m and produce a power density of
:::::77 W/m2. This method of warming soil has been
previously evaluated and performs well under a variety
of moisture and temperature conditions (Peterjohn et
al. 1993)."""	5	5°C	Jul.1991-Jul.1991	all day warming	growing season	1,2,3,4	 forest floor
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	42°28'N,72°10'W	central Massachusetts, USA (42°28'N, 72°10'W)	forest	deciduous forest	heating cable	"heating cable, ""During the summer and fall of 2001, about 5 km of
heating cable were installed by hand to minimize disturbance
in a 30 9 30 m area (Melillo et al. 2011). Cables
were buried at 10 cm depth, spaced 20 cm apart. An
adjacent 900-m2 area was delineated to serve as the control
area, with a 5-m buffer inbetween the areas."" ""When supplied with 240 VAC, the heating cables have
a power output of 13.6 W m-1 and produce a power
density of about 77 W m-2. Within the heated area, there
were 160 resistance cables, each of which is approximately
30 m long. A typical resistance per cable was
96 X."""	5	5 °C since 5.2003	May.2003-Jun.2003	all day warming	all year	1,13,25,37,49,61,73	
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	42°28'N,72°10'W	central Massachusetts, USA (42◦28'N, 72◦10'W)	forest	deciduous forest	heating cable	"heating cable, ""In the heated and disturbance
control plots, we buried heating cables
at 10-cm depths spaced 20 cm apart. When
supplied with 240 V of ac, the heating cables
have a power output of 13.6 W m 2 and
produce a power density of about 77 W m 2."""	5	5	Apr. 1991-Nov. 1991	all day warming	all year	7,19,31,43,55,67,79,91	
Verburg PSJ etal 1999_The CLIMEX soil-heating experiment soil response after 2 years of treatment	58°23'N,8°19'E	Grimstad, Southern Norway(58°23'N 8°19'E, 300m a.s.l., MAP 1400mm, MAT 5°C)	forest	Forest	heating cable	"Heating cable, ""heating
cables were placed at a depth of 1 cm in the litter layer with a
spacing of 10–15 cm."" ""At selected locations, additional thermistors were installed at
1 cm depth at 1, 3 and 7.5 cm from the cable and at 5 cm depth, at
1 and 7.5 cm from the cable. We measured thermal conductivity
(l) of the LF, H, Ah and Bw layer at different moisture levels in
the laboratory according to Van Loon et al. (1989). Gravimetric
moisture content (g H2O g dry soil–1) was determined by drying a
subsample for 24 h at 105 7C. Volumetric heat capacity (Ch) of the
soil was calculated as:
ChpS ui Ci (1)
where ui is the volume fraction of soil constituent i and Ci the
volumetric heat capacity of material i, assuming a volumetric heat
capacity of 2.0 MJ m–3 K–1 for minerals, 2.5 MJ m–3 K–1 for organic
matter and 4.2 MJ –3 K–1 for water (Koorevaar et al. 1983).
Organic matter content of the soil material was measured as the
loss on ignition at 600 7C after 4 h of heating."""	4	3°C in summer and 5°Cin winter in soil temperature	 Jun.199-Jun.1995	all day warming	all year	12,24	1994-1995(four incubation periods)
Jamieson N etal 1998_Soil N dynamics in a natural calcareous grassland under a changing climate		Wytham estate, Oxfordshire, UK.	grassland/meadow/prairie	semi-natural calcareous grassland 	heating cable	"heating cable for winter warming in 1993-1997, ""Full details of the technology involved will be published
elsewhere. Winter warming to 3 7C above ambient from 1
November to 30 April each year was achieved using soil warming
cables pinned zigzag fashion to the soil surface. Soil temperatures
were measured using thermistor temperature probes linked to a
Campbell data logger, which maintained a 3 7C temperature difference
between heated and control plots by switching the power
on and off via a relay."""	3	3°C ± 0.3°C at 1cm soil depth,winter warming	Nov.1993-spring 1997	all day warming	winter	39,42,45,48	
Dawes MA etal 2011_Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	46°46'N,9°52'E	Stillberg, Davos in the Central Alps, Switzerland (9°52'E, 46°46'N),2180 m asl.	forest	Pine and larch plantation	heating cable	"heating cables, ""Soil warming was applied during the
2007–09 growing seasons using heating cables laid on the
ground surface underneath the dwarf shrub layer (Hagedorn
et al., 2010). As the plots contained trees over 2 m tall and
were located on steep, rocky terrain, this method was more
feasible and required less disturbance than the use of open
top chambers (OTCs) or infrared radiators and additionally
allowed greater soil warming than OTCs."""	3.1,3.9,4.4	3.9 ± 0.3 in 2007, 4.4 ± 0.5 in 2008, 3.1 ± 0.4 in 2009(warming during growing season)	spring.2007-Aug.2007 	all day warming	growing season	3,15,27	since Spring, 2007
Hartley AE etal 1999_Plant performance and soil nitrogen mineralization in response to simulated climate change in subarctic dwarf shrub heath	68°35'N,18°82'E	Northern SwedenT (68°35'N 18°82'E, 380m a.s.l.)	shrub/heathland	Subarctic dwarf shrub tundra	heating cable	"heating cables, ""In this experiment, we applied a 50C soil warming on dwarf shrub tundra in Abisko, Sweden during the 1993-1997 growing seasons using buried heating cables."" ""Four sets of control plots were established at the corners of the cable-warmed plot; each set of control plots had a 1-m2 untreated ""Con- trol"" and a 1-M2 ""Disturbance Control"" with unheated, buried cables."""	5	5 (soil warming during gowing season)	Jun.1993-Sep 1993 	all day warming	growing season	3,15,27,51	
McHale PJ etal 1998_Soil warming in a northern hardwood forest: trace gas fluxes and leaf litter decomposition	43°59'N,74°14'W	Anna and Archer Huntington Wildlife Forest (HF), located in the central Adirondack mountains (43°59'N, 74°14'W) near Newcomb,New York	forest	northern hard forest	heating cable	"heating cables, ""Heating cables were installed in four experimental plots (10 ×
10 m), which included a cabled, nonheated reference plot and three
plots in which the forest floor temperature was increased during
the growing season by 2.5, 5.0, and 7.5°C above ambient conditions
to represent a temperature gradient. Heating cables were installed
at 5 cm depth within the forest floor in all plots. Heat
treatments were only conducted during the snow-free season because
we did not want to produce artifacts that would have occurred
due to artificial early melting of the snowpack. The
assignment of treatment was done randomly. Larger plot size with
no treatment replication was chosen versus smaller plot size in order
to eliminate edge effects and to minimize the high costs of installation.
Thirteen heating cables (Smith-Gates Easy Heat®) were
buried at 5 cm depth within the forest floor of each plot, with
20-cm spacing between adjacent cable lengths. A single cable
spanned a plot four times, was 43.3 m long, had a total resistance
of 95.6 W, drew 2.4 A, and consumed 576 W when supplied with
240 V AC. The heating cables were installed approximately 1 year
prior to the start of experimental soil heating to minimize any effects
associated with cable installation (McHale et al. 1996)."""	2.5,5,7.5		warming during growing season in1993 and 1994	all day warming	growing season	4,16	
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	56°29'N,9°34'E	Foulum, Denmark (56◦29'N, 9◦34'E)	cropland	wheat crop	heating cable	"heating cables, ""In each heated lysimeter an insulated heating-cable was placed
in the crop rows at 0.1m depth during tillage and connected to a
power supply, whereas soil in the unheated (control) lysimeters
was also tilled, but no heating-cables were placed in them. A programmed
computer controlled the soil warming set up and the
soil temperature was monitored using sensors (Campbell Scientific
Inc., Germany) placed horizontally in the middle between the
heating cable rows at 0.05 m, 0.1m and 0.25m depths in heated
plots and control plots."""	5	5	oct. 2008-dec. 2008	all day warming	all year	2,4,5,8,9,10	
