alfalfa
barley
broadleaf tree (deciduous or evergreen)
broadleaf tree with N2 fixation
broadleaf tree adapted to wetland
brome
black spruce (needle leaf)
feather moss (with jack pine)
needleleaf tree (evergreen)
needleleaf tree (deciduous)
C3 grass perennial
C4 grass perennial
C3 grass annual
clover annual
clover perennial
bush
douglas fir
bush with N2 fixation
loblolly pine
maize
oats
shrub
soybean
spring wheat
lichen
jackpine
moss (sphagnum)
moss (feathermoss)
moss (sphagnum near sedge)
sedge
aspen
oak (upland)
