variable_name,dimensions,shape,dtype,ndim,size,long_name,units,FillValue,flags
CORGC,"ntopou, nlevs","(1, 20)",float32,2,20,Total soil organic carbon,kg C/Mg soil,-999.9,
CORGR,"ntopou, nlevs","(1, 20)",float32,2,20,POC (part of SOC),kg C/Mg soil,-999.9,
CORGN,"ntopou, nlevs","(1, 20)",float32,2,20,Total soil organic nitrogen,g N/Mg soil,-999.9,
CORGP,"ntopou, nlevs","(1, 20)",float32,2,20,Total soil organic phosphorus,g P/Mg soil,-999.9,
CNH4,"ntopou, nlevs","(1, 20)",float32,2,20,Total soil NH4 concentration,gN/Mg soil,-999.9,
CNO3,"ntopou, nlevs","(1, 20)",float32,2,20,Total soil NO3 concentration,gN/Mg soil,-999.9,
CPO4,"ntopou, nlevs","(1, 20)",float32,2,20,Total soil H2PO4 concentration,gP/Mg soil,-999.9,
CAL,"ntopou, nlevs","(1, 20)",float32,2,20,Soluble soil Al content,g Al/Mg soil,-999.9,
CFE,"ntopou, nlevs","(1, 20)",float32,2,20,Soluble soil Fe content,g Fe/Mg soil,-999.9,
CCA,"ntopou, nlevs","(1, 20)",float32,2,20,Soluble soil Ca content,g Ca/Mg soil,-999.9,
CMG,"ntopou, nlevs","(1, 20)",float32,2,20,Soluble soil MG content,g MG/Mg soil,-999.9,
CNA,"ntopou, nlevs","(1, 20)",float32,2,20,Soluble soil Na content,g Na/Mg soil,-999.9,
CKA,"ntopou, nlevs","(1, 20)",float32,2,20,Soluble soil K content,g K/Mg soil,-999.9,
CSO4,"ntopou, nlevs","(1, 20)",float32,2,20,Soluble soil SO4 content,g S/Mg soil,-999.9,
CCL,"ntopou, nlevs","(1, 20)",float32,2,20,Soluble soil Cl content,g Cl/Mg soil,-999.9,
CALPO,"ntopou, nlevs","(1, 20)",float32,2,20,Soil AlPO4 content,g P/Mg soil,-999.9,
CFEPO,"ntopou, nlevs","(1, 20)",float32,2,20,Soil FePO4 content,g P/Mg soil,-999.9,
CCAPD,"ntopou, nlevs","(1, 20)",float32,2,20,Soil CaHPO4 content,g P/Mg soil,-999.9,
CCAPH,"ntopou, nlevs","(1, 20)",float32,2,20,Soil apatite content,g P/Mg soil,-999.9,
CALOH,"ntopou, nlevs","(1, 20)",float32,2,20,Soil Al(OH)3 content,g Al/Mg soil,-999.9,
CFEOH,"ntopou, nlevs","(1, 20)",float32,2,20,Soil Fe(OH)3 content,g Fe/Mg soil,-999.9,
CCACO,"ntopou, nlevs","(1, 20)",float32,2,20,Soil CaCO3 content,g Ca/Mg soil,-999.9,
CCASO,"ntopou, nlevs","(1, 20)",float32,2,20,Soil CaSO4 content,g Ca/Mg soil,-999.9,
GKC4,"ntopou, nlevs","(1, 20)",float32,2,20,Ca-NH4 Gapon selectivity coefficient,none,-999.9,
GKCH,"ntopou, nlevs","(1, 20)",float32,2,20,Ca-H Gapon selectivity coefficient,none,-999.9,
GKCA,"ntopou, nlevs","(1, 20)",float32,2,20,Ca-Al Gapon selectivity coefficient,none,-999.9,
GKCM,"ntopou, nlevs","(1, 20)",float32,2,20,Ca-Mg Gapon selectivity coefficient,none,-999.9,
GKCN,"ntopou, nlevs","(1, 20)",float32,2,20,Ca-Na Gapon selectivity coefficient,none,-999.9,
GKCK,"ntopou, nlevs","(1, 20)",float32,2,20,Ca-K Gapon selectivity coefficient,none,-999.9,
THW,"ntopou, nlevs","(1, 20)",float32,2,20,Initial soil water content,m3/m3,-999.9,
THI,"ntopou, nlevs","(1, 20)",float32,2,20,Initial soil ice content,m3/m3,-999.9,
RSCfL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial fine litter C,gC m-2,-999.9,
RSNfL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial fine litter N,gN m-2,-999.9,
RSPfL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial fine litter P,gP m-2,-999.9,
RSCwL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial woody litter C,gC m-2,-999.9,
RSNwL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial woody litter N,gN m-2,-999.9,
RSPwL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial woody litter P,gP m-2,-999.9,
RSCmL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial manure liter C,gC m-2,-999.9,
RSNmL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial manure litter N,gN m-2,-999.9,
RSPmL,"ntopou, nlevs","(1, 20)",float32,2,20,Initial manure litter P,gP m-2,-999.9,
NHW,,(),int32,0,1,,,,
NHE,,(),int32,0,1,,,,
NVN,,(),int32,0,1,,,,
NVS,,(),int32,0,1,,,,
